drug1_db,drug2_db,Drug12,gene1,gene2,gene12
DB00317,DB01229,964,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['TUBB1', 'BCL2']",[]
DB00317,DB00642,965,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['GART', 'TYMS', 'ATIC', 'DHFR']",[]
DB00317,DB06813,966,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']",['DHFR'],[]
DB00317,DB01103,967,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['PLA2G4A', 'AOX1', 'PLA2G6', 'PLCL1', 'PRNP']",[]
DB00317,DB08877,968,"['ERBB2', 'FLT3', 'SRC', 'MAPK10', 'CSNK1D', 'AXL', 'EPHA6', 'PRKD1', 'ERBB3', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'EPHB1', 'STK36', 'NLK', 'MAPK9', 'TNIK', 'ABL2', 'PIP4K2C', 'LCK', 'CHEK2', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'EPHB4', 'ABCG2', 'SLK', 'STK10', 'HCK', 'EPHA5', 'RIPK2', 'FGR', 'ERBB4']","['GRK4', 'RIOK3', 'DAPK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'AURKC', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'DCLK2', 'MARK2', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'RPS6KA1', 'HIPK2', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'BRAF', 'CAMK1', 'RPS6KA6', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'STK39', 'NTRK1', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B']","['EPHA3', 'DCLK3', 'SBK1', 'EPHB6', 'MKNK2', 'MAP3K19', 'STK17A', 'NUAK2', 'STK17B', 'GAK', 'LTK', 'PHKG2', 'RET', 'MAP3K3', 'CDK7', 'MAP3K2', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']"
DB00317,DB00398,969,"['ERBB2', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'PRKD1', 'EPHB6', 'ERBB3', 'MET', 'IRAK4', 'CSNK1E', 'MAP3K19', 'NLK', 'STK17A', 'RPS6KA4', 'NUAK2', 'STK17B', 'PIP4K2C', 'GAK', 'CHEK2', 'LTK', 'MINK1', 'EGFR', 'PHKG2', 'MAP3K3', 'ABCG2', 'CDK7', 'MAP3K2', 'IRAK1', 'ERBB4']","['EPHX2', 'HTR2A', 'CDK5', 'JAK3', 'MAP4K1', 'MYLK3', 'TAOK1', 'PDGFRB', 'CSK', 'HIPK1', 'FLT4', 'CDK2', 'FRK', 'EPHA7', 'MAPK14', 'EPHA8', 'CDK3', 'FGFR1', 'FLT1', 'MYO3B', 'HTR2B', 'HTR1A', 'FGFR3', 'GSK3B', 'MAP4K5', 'NTRK1', 'EPHA2', 'EPHA4', 'DDR2', 'RAF1', 'FYN', 'HTR7', 'CSF1R', 'AURKB', 'LIMK2', 'LIMK1', 'TEK', 'TAOK2', 'HTR2C', 'CSNK1A1', 'TGFBR2', 'MAPK12', 'INSR', 'PLK4', 'HTR6', 'MYLK2', 'MAPK11', 'HIPK3', 'BRAF', 'CLK1']","['FLT3', 'EPHA3', 'SRC', 'EPHA6', 'MKNK2', 'KDR', 'EPHB1', 'STK36', 'MAPK9', 'TNIK', 'ABL2', 'LCK', 'MAP2K5', 'HIPK4', 'RET', 'EPHB4', 'SLK', 'STK10', 'HCK', 'EPHA5', 'RIPK2', 'FGR', 'ABL1', 'KIT']"
DB00317,DB01268,970,"['ERBB2', 'EPHA3', 'CSNK1D', 'DCLK3', 'AXL', 'PRKD1', 'ERBB3', 'CSNK1E', 'MAP3K19', 'STK36', 'NLK', 'NUAK2', 'TNIK', 'PIP4K2C', 'LTK', 'MINK1', 'HIPK4', 'MAP3K3', 'ABCG2', 'CDK7', 'MAP3K2', 'RIPK2', 'IRAK1', 'ERBB4']","['MAP2K6', 'CDK16', 'MYLK', 'AURKA', 'AURKC', 'SGK3', 'PRKAA1', 'CLK4', 'CAMKK1', 'FLT1', 'FGFR1', 'FGFR3', 'FGFR4', 'DDR2', 'RPS6KB1', 'CAMK1D', 'PTK6', 'PLK4', 'STK16', 'CAMK1G', 'TTK', 'BMPR1B', 'CLK1', 'MYO3A', 'LYN', 'PHKG1', 'MKNK1', 'CDK4', 'PRP4K', 'FGFR2', 'MYLK3', 'CSNK2A2', 'HIPK1', 'TYK2', 'DSTYK', 'MAP3K4', 'RPS6KA3', 'DAPK2', 'PIM2', 'MARK3', 'BTK', 'NTRK1', 'MATK', 'CAMK2A', 'AURKB', 'CSF1R', 'MAP3K12', 'CSNK1A1', 'STK38L', 'PDGFRA', 'STK4', 'YES1', 'PRPF4', 'NEK2', 'JAK2', 'PTK2', 'KCNH2', 'LRRK2', 'CLK2', 'FLT4', 'TIE1', 'EPHA7', 'BMP2K', 'MARK2', 'MAP4K5', 'RPS6KA1', 'FYN', 'ALK', 'BRD4', 'PRKCA', 'PLK2', 'AAK1', 'SNRK', 'CAMK1', 'CDK5', 'MAP2K3', 'CAMKK2', 'DLK1', 'DAPK3', 'PDGFRB', 'CSNK2A1', 'CHEK1', 'TNK2', 'CDK2', 'MAP4K2', 'CAMK2G', 'RPS6KA5', 'FER', 'TNKS2', 'MAP2K4', 'INSR', 'RPS6KA2', 'MAPK7', 'MYLK2', 'CAMK2D', 'JAK1', 'CAMK2B']","['FLT3', 'MAPK10', 'SRC', 'SBK1', 'EPHA6', 'EPHB6', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'EPHB1', 'STK17A', 'MAPK9', 'STK17B', 'ABL2', 'LCK', 'GAK', 'CHEK2', 'MAP2K5', 'EGFR', 'PHKG2', 'RET', 'EPHB4', 'SLK', 'STK10', 'HCK', 'EPHA5', 'FGR', 'ABL1', 'KIT', 'RPS6KA4']"
DB00317,DB00675,971,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['ESRRA', 'CYP3A4', 'SIGMAR1', 'EBPL', 'ABCB1', 'ESR1', 'EBP', 'DHCR7', 'HTR6', 'ESR2', 'KCNH2']",[]
DB00317,DB00675,972,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['ESRRA', 'CYP3A4', 'SIGMAR1', 'EBPL', 'ABCB1', 'ESR1', 'EBP', 'DHCR7', 'HTR6', 'ESR2', 'KCNH2']",[]
DB00317,DB00444,973,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']",['TOP2A'],[]
DB00317,DB01041,974,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['NFKB1', 'TNF', 'FGFR2', 'PTGS2']",[]
DB00317,DB01030,975,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['TOP1', 'HIF1A', 'TOP1MT']",['ABCG2']
DB00317,DB00755,976,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['RXRB', 'GPRC5A', 'ALDH1A2', 'NR0B1', 'RARG', 'ALDH1A1', 'RXRG']",[]
DB00317,DB08881,977,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['RAF1', 'BRAF']",[]
DB00317,DB00399,978,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['GGPS1', 'FDPS']",[]
DB00317,DB00358,979,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['ADORA2A', 'HBA1', 'KCNH2']",[]
DB00317,DB00457,980,"['ERBB2', 'EPHA3', 'SRC', 'FLT3', 'MAPK10', 'CSNK1D', 'DCLK3', 'AXL', 'SBK1', 'EPHA6', 'PRKD1', 'EPHB6', 'ERBB4', 'ERBB3', 'MKNK2', 'MET', 'IRAK4', 'KDR', 'CSNK1E', 'MAP3K19', 'EPHB1', 'STK36', 'NLK', 'STK17A', 'MAPK9', 'NUAK2', 'TNIK', 'STK17B', 'ABL2', 'PIP4K2C', 'GAK', 'LCK', 'CHEK2', 'LTK', 'MINK1', 'MAP2K5', 'HIPK4', 'EGFR', 'PHKG2', 'RET', 'MAP3K3', 'EPHB4', 'ABCG2', 'CDK7', 'SLK', 'STK10', 'HCK', 'EPHA5', 'MAP3K2', 'RIPK2', 'FGR', 'ABL1', 'KIT', 'IRAK1', 'RPS6KA4']","['ADRA1B', 'ADRA2A', 'MT3', 'KCNH7', 'DRD4', 'HTR1D', 'ADRA2C', 'ADRA2B', 'ADRA1A', 'ADRA1D', 'NQO2', 'SLC22A1', 'KCNH2']",[]
DB02424,DB00398,981,"['HSP90AA1', 'HSP90AB1']","['FLT3', 'EPHA3', 'HTR2A', 'JAK3', 'MKNK2', 'KDR', 'EPHB1', 'FLT4', 'FRK', 'EPHA7', 'MAPK9', 'ABL2', 'LCK', 'FGFR1', 'FLT1', 'HTR1A', 'FGFR3', 'HIPK4', 'MAP4K5', 'DDR2', 'HTR7', 'FYN', 'EPHB4', 'LIMK2', 'LIMK1', 'SLK', 'HTR2C', 'TGFBR2', 'EPHA5', 'PLK4', 'RIPK2', 'FGR', 'ABL1', 'HIPK3', 'KIT', 'BRAF', 'CLK1', 'SRC', 'EPHX2', 'CDK5', 'MAP4K1', 'EPHA6', 'MYLK3', 'TAOK1', 'PDGFRB', 'CSK', 'HIPK1', 'STK36', 'CDK2', 'MAPK14', 'EPHA8', 'TNIK', 'CDK3', 'MYO3B', 'HTR2B', 'GSK3B', 'MAP2K5', 'NTRK1', 'RET', 'EPHA2', 'EPHA4', 'RAF1', 'AURKB', 'CSF1R', 'TEK', 'TAOK2', 'CSNK1A1', 'STK10', 'INSR', 'HCK', 'MAPK12', 'HTR6', 'MYLK2', 'MAPK11']",[]
DB02424,DB01030,982,"['HSP90AA1', 'HSP90AB1']","['ABCG2', 'TOP1', 'HIF1A', 'TOP1MT']",[]
DB00441,DB00188,983,"['RRM1', 'TYMS', 'CMPK1']","['PSMB1', 'PSMD2', 'PSMB5', 'PSMD1', 'PSMB2']",[]
DB00441,DB01254,984,"['RRM1', 'TYMS', 'CMPK1']","['FLT3', 'SBK1', 'JAK3', 'AURKA', 'EPHB6', 'NEK2', 'KDR', 'MYT1', 'EPHB2', 'ABL2', 'STK35', 'LCK', 'FGFR1', 'CYP3A4', 'FGFR3', 'MINK1', 'EGFR', 'DDR2', 'MAP3K3', 'FYN', 'EPHB4', 'STAT5B', 'LIMK1', 'ULK3', 'BMPR1A', 'PTK6', 'STK25', 'RIPK2', 'ABL1', 'TXK', 'KIT', 'BRAF', 'BMPR1B', 'MAP3K7', 'SRC', 'DDR1', 'EPHA6', 'TAOK3', 'ERBB3', 'MAP3K13', 'PDGFRB', 'MAP3K19', 'VRK2', 'MAP4K2', 'TYK2', 'MAPK14', 'SIK3', 'TEC', 'BTK', 'MAP2K5', 'EPHA2', 'RET', 'RAF1', 'AURKB', 'CSF1R', 'TAOK2', 'CSNK1A1', 'HCK', 'PDGFRA', 'NEK11', 'MAP3K2', 'STK4', 'MYLK2', 'YES1', 'ERBB4']",[]
DB00441,DB00530,985,"['RRM1', 'TYMS', 'CMPK1']","['FLT3', 'GRK4', 'AXL', 'SBK1', 'JAK3', 'AURKA', 'EPHB6', 'ABCC2', 'MKNK2', 'JAK2', 'KDR', 'LRRK2', 'EPHB1', 'STK17A', 'MAPK9', 'BMP2K', 'NR1I2', 'STK17B', 'ABL2', 'PIP4K2C', 'LCK', 'CYP3A4', 'MINK1', 'MERTK', 'HIPK4', 'EGFR', 'SIK2', 'DYRK2', 'EPHB4', 'MAP3K3', 'SLK', 'TBK1', 'ULK3', 'EPHA5', 'PLK4', 'RIPK2', 'ABL1', 'TXK', 'TTK', 'AAK1', 'KIT', 'ERBB2', 'MAPK10', 'SRC', 'EPHA6', 'DAPK3', 'ERBB3', 'MET', 'FGFR2', 'CSK', 'CSNK1E', 'MAP3K19', 'STK36', 'TYK2', 'SLCO2B1', 'TNIK', 'RIPK4', 'GAK', 'MAP2K5', 'RET', 'SRPK3', 'STK10', 'MAP3K2', 'CAMK2D', 'ERBB4']",[]
DB00441,DB02424,986,"['RRM1', 'TYMS', 'CMPK1']","['HSP90AA1', 'HSP90AB1']",[]
DB00441,DB01259,987,"['RRM1', 'TYMS', 'CMPK1']","['ERBB2', 'PDGFRB', 'CYP3A4', 'MAP2K5', 'PI4KB', 'STK10', 'EGFR', 'PIK3C2B', 'MAP2K7', 'ERBB3', 'SLK', 'ERBB4']",[]
DB00441,DB00398,988,"['RRM1', 'TYMS', 'CMPK1']","['FLT3', 'EPHA3', 'HTR2A', 'JAK3', 'MKNK2', 'KDR', 'EPHB1', 'FLT4', 'FRK', 'EPHA7', 'MAPK9', 'ABL2', 'LCK', 'FGFR1', 'FLT1', 'HTR1A', 'FGFR3', 'HIPK4', 'MAP4K5', 'DDR2', 'HTR7', 'FYN', 'EPHB4', 'LIMK2', 'LIMK1', 'SLK', 'HTR2C', 'TGFBR2', 'EPHA5', 'PLK4', 'RIPK2', 'FGR', 'ABL1', 'HIPK3', 'KIT', 'BRAF', 'CLK1', 'SRC', 'EPHX2', 'CDK5', 'MAP4K1', 'EPHA6', 'MYLK3', 'TAOK1', 'PDGFRB', 'CSK', 'HIPK1', 'STK36', 'CDK2', 'MAPK14', 'EPHA8', 'TNIK', 'CDK3', 'MYO3B', 'HTR2B', 'GSK3B', 'MAP2K5', 'NTRK1', 'RET', 'EPHA2', 'EPHA4', 'RAF1', 'AURKB', 'CSF1R', 'TEK', 'TAOK2', 'CSNK1A1', 'STK10', 'INSR', 'HCK', 'MAPK12', 'HTR6', 'MYLK2', 'MAPK11']",[]
DB00441,DB01268,989,"['RRM1', 'TYMS', 'CMPK1']","['FLT3', 'MAP2K6', 'CDK16', 'SBK1', 'MYLK', 'AURKA', 'EPHB6', 'AURKC', 'SGK3', 'MKNK2', 'IRAK4', 'KDR', 'PRKAA1', 'STK17A', 'CLK4', 'CAMKK1', 'STK17B', 'ABL2', 'LCK', 'FLT1', 'FGFR1', 'FGFR3', 'EGFR', 'FGFR4', 'DDR2', 'SLK', 'RPS6KB1', 'CAMK1D', 'EPHA5', 'PTK6', 'PLK4', 'STK16', 'CAMK1G', 'FGR', 'ABL1', 'TTK', 'BMPR1B', 'RPS6KA4', 'CLK1', 'MAPK10', 'MYO3A', 'LYN', 'PHKG1', 'MKNK1', 'CDK4', 'PRP4K', 'FGFR2', 'MYLK3', 'CSNK2A2', 'HIPK1', 'TYK2', 'DSTYK', 'MAP3K4', 'RPS6KA3', 'DAPK2', 'PIM2', 'MARK3', 'GAK', 'BTK', 'NTRK1', 'RET', 'MATK', 'CAMK2A', 'AURKB', 'CSF1R', 'MAP3K12', 'CSNK1A1', 'STK38L', 'HCK', 'PDGFRA', 'STK4', 'YES1', 'PRPF4', 'NEK2', 'JAK2', 'PTK2', 'KCNH2', 'LRRK2', 'EPHB1', 'CLK2', 'FLT4', 'TIE1', 'MAPK9', 'EPHA7', 'BMP2K', 'MARK2', 'MAP4K5', 'RPS6KA1', 'FYN', 'EPHB4', 'ALK', 'BRD4', 'PRKCA', 'PLK2', 'AAK1', 'SNRK', 'KIT', 'CAMK1', 'SRC', 'CDK5', 'MAP2K3', 'CAMKK2', 'DLK1', 'EPHA6', 'DAPK3', 'MET', 'PDGFRB', 'CSNK2A1', 'CHEK1', 'TNK2', 'CDK2', 'MAP4K2', 'CAMK2G', 'RPS6KA5', 'FER', 'TNKS2', 'CHEK2', 'MAP2K5', 'PHKG2', 'MAP2K4', 'STK10', 'INSR', 'RPS6KA2', 'MAPK7', 'MYLK2', 'CAMK2D', 'JAK1', 'CAMK2B']",[]
