drug,protein,Genesym
DB00213,9429,ABCG2
DB00215,1128,CHRM1
DB00215,6530,SLC6A2
DB00215,3358,HTR2C
DB00215,6532,SLC6A4
DB00215,148,ADRA1A
DB00215,3269,HRH1
DB00215,3757,KCNH2
DB00227,8856,NR1I2
DB00227,5243,ABCB1
DB00233,5770,PTPN1
DB00234,1565,CYP2D6
DB00234,6530,SLC6A2
DB00234,3358,HTR2C
DB00234,6532,SLC6A4
DB00235,8654,PDE5A
DB00235,5742,PTGS1
DB00235,5140,PDE3B
DB00246,154,ADRB2
DB00246,153,ADRB1
DB00246,6915,TBXA2R
DB00246,6532,SLC6A4
DB00246,3757,KCNH2
DB00249,7083,TK1
DB00252,1559,CYP2C9
DB00257,7226,TRPM2
DB00257,1586,CYP17A1
DB00257,5243,ABCB1
DB00257,1576,CYP3A4
DB00257,1588,CYP19A1
DB00257,3738,KCNA3
DB00257,3577,CXCR1
DB00257,554,AVPR2
DB00257,1233,CCR4
DB00257,3757,KCNH2
DB00257,1595,CYP51A1
DB00257,9971,NR1H4
DB00259,759,CA1
DB00259,760,CA2
DB00259,761,CA3
DB00259,762,CA4
DB00259,768,CA9
DB00261,64805,P2RY12
DB00264,155,ADRB3
DB00268,3363,HTR7
DB00273,771,CA12
DB00273,759,CA1
DB00273,763,CA5A
DB00273,768,CA9
DB00283,6580,SLC22A1
DB00285,1129,CHRM2
DB00285,150,ADRA2A
DB00285,1128,CHRM1
DB00285,6530,SLC6A2
DB00285,4886,NPY1R
DB00285,3356,HTR2A
DB00285,3358,HTR2C
DB00285,6532,SLC6A4
DB00285,3362,HTR6
DB00285,6531,SLC6A3
DB00289,6530,SLC6A2
DB00289,6532,SLC6A4
DB00289,6531,SLC6A3
DB00289,3757,KCNH2
DB00292,1584,CYP11B1
DB00292,1585,CYP11B2
DB00307,5914,RARA
DB00307,5915,RARB
DB00307,5916,RARG
DB00316,771,CA12
DB00316,761,CA3
DB00317,2580,GAK
DB00317,2051,EPHB6
DB00317,8767,RIPK2
DB00317,8986,RPS6KA4
DB00317,9262,STK17B
DB00317,6793,STK10
DB00317,11200,CHEK2
DB00317,25,ABL1
DB00317,2064,ERBB2
DB00317,3932,LCK
DB00317,5979,RET
DB00317,4233,MET
DB00317,3055,HCK
DB00317,2268,FGR
DB00317,3815,KIT
DB00317,6714,SRC
DB00317,5261,PHKG2
DB00317,2065,ERBB3
DB00317,2042,EPHA3
DB00317,4058,LTK
DB00317,558,AXL
DB00317,3791,KDR
DB00317,2322,FLT3
DB00317,27,ABL2
DB00317,5601,MAPK9
DB00317,1453,CSNK1D
DB00317,1454,CSNK1E
DB00317,1022,CDK7
DB00317,3654,IRAK1
DB00317,5602,MAPK10
DB00317,2044,EPHA5
DB00317,2050,EPHB4
DB00317,2047,EPHB1
DB00317,5607,MAP2K5
DB00317,5587,PRKD1
DB00317,2066,ERBB4
DB00317,388228,SBK1
DB00317,80122,MAP3K19
DB00317,50488,MINK1
DB00317,147746,HIPK4
DB00317,79837,PIP4K2C
DB00317,4215,MAP3K3
DB00317,85443,DCLK3
DB00317,81788,NUAK2
DB00317,9748,SLK
DB00317,2872,MKNK2
DB00317,27148,STK36
DB00317,51135,IRAK4
DB00317,51701,NLK
DB00317,9263,STK17A
DB00317,285220,EPHA6
DB00317,23043,TNIK
DB00317,9429,ABCG2
DB00317,10746,MAP3K2
DB00321,1813,DRD2
DB00321,1812,DRD1
DB00321,1816,DRD5
DB00321,6530,SLC6A2
DB00321,3274,HRH2
DB00321,3358,HTR2C
DB00321,6532,SLC6A4
DB00321,1814,DRD3
DB00321,3362,HTR6
DB00321,6531,SLC6A3
DB00321,6331,SCN5A
DB00321,6326,SCN2A
DB00321,59340,HRH4
DB00321,11255,HRH3
DB00325,43,ACHE
DB00328,240,ALOX5
DB00328,3576,CXCL8
DB00328,367,AR
DB00328,231,AKR1B1
DB00328,6916,TBXAS1
DB00328,8644,AKR1C3
DB00328,5732,PTGER2
DB00328,9356,SLC22A6
DB00334,3757,KCNH2
DB00338,1576,CYP3A4
DB00342,5243,ABCB1
DB00342,1576,CYP3A4
DB00342,1128,CHRM1
DB00342,1573,CYP2J2
DB00343,1576,CYP3A4
DB00345,9356,SLC22A6
DB00357,1588,CYP19A1
DB00358,3757,KCNH2
DB00363,1816,DRD5
DB00363,6532,SLC6A4
DB00363,3757,KCNH2
DB00363,11255,HRH3
DB00367,6462,SHBG
DB00368,1813,DRD2
DB00370,3350,HTR1A
DB00370,1813,DRD2
DB00370,151,ADRA2B
DB00370,152,ADRA2C
DB00370,1812,DRD1
DB00370,6530,SLC6A2
DB00370,3363,HTR7
DB00370,148,ADRA1A
DB00370,1814,DRD3
DB00373,155,ADRB3
DB00379,3757,KCNH2
DB00379,6326,SCN2A
DB00381,146,ADRA1D
DB00381,148,ADRA1A
DB00381,147,ADRA1B
DB00382,6582,SLC22A2
DB00382,1544,CYP1A2
DB00382,1129,CHRM2
DB00382,1268,CNR1
DB00382,1269,CNR2
DB00382,1145,CHRNE
DB00387,1133,CHRM5
DB00391,759,CA1
DB00391,760,CA2
DB00391,1815,DRD4
DB00391,763,CA5A
DB00391,768,CA9
DB00391,11238,CA5B
DB00393,8856,NR1I2
DB00393,9971,NR1H4
DB00396,6580,SLC22A1
DB00396,6581,SLC22A3
DB00396,2908,NR3C1
DB00396,6462,SHBG
DB00396,367,AR
DB00396,1559,CYP2C9
DB00396,10280,SIGMAR1
DB00398,10733,PLK4
DB00398,8767,RIPK2
DB00398,6793,STK10
DB00398,25,ABL1
DB00398,4914,NTRK1
DB00398,3643,INSR
DB00398,3932,LCK
DB00398,2534,FYN
DB00398,1436,CSF1R
DB00398,5979,RET
DB00398,3055,HCK
DB00398,3350,HTR1A
DB00398,2268,FGR
DB00398,2260,FGFR1
DB00398,6714,SRC
DB00398,2321,FLT1
DB00398,2261,FGFR3
DB00398,1017,CDK2
DB00398,3356,HTR2A
DB00398,3358,HTR2C
DB00398,1969,EPHA2
DB00398,2042,EPHA3
DB00398,2046,EPHA8
DB00398,2053,EPHX2
DB00398,3363,HTR7
DB00398,7048,TGFBR2
DB00398,1445,CSK
DB00398,3357,HTR2B
DB00398,27,ABL2
DB00398,2444,FRK
DB00398,5601,MAPK9
DB00398,1452,CSNK1A1
DB00398,1195,CLK1
DB00398,2932,GSK3B
DB00398,3362,HTR6
DB00398,3718,JAK3
DB00398,3984,LIMK1
DB00398,3985,LIMK2
DB00398,6300,MAPK12
DB00398,2044,EPHA5
DB00398,2050,EPHB4
DB00398,2047,EPHB1
DB00398,2043,EPHA4
DB00398,1018,CDK3
DB00398,1020,CDK5
DB00398,7010,TEK
DB00398,5607,MAP2K5
DB00398,2045,EPHA7
DB00398,5600,MAPK11
DB00398,1432,MAPK14
DB00398,4921,DDR2
DB00398,91807,MYLK3
DB00398,57551,TAOK1
DB00398,204851,HIPK1
DB00398,147746,HIPK4
DB00398,140469,MYO3B
DB00398,11184,MAP4K1
DB00398,9212,AURKB
DB00398,85366,MYLK2
DB00398,9748,SLK
DB00398,10114,HIPK3
DB00398,2872,MKNK2
DB00398,27148,STK36
DB00398,285220,EPHA6
DB00398,23043,TNIK
DB00398,9344,TAOK2
DB00398,11183,MAP4K5
DB00402,2557,GABRA4
DB00408,1129,CHRM2
DB00408,1132,CHRM4
DB00408,3350,HTR1A
DB00408,1133,CHRM5
DB00408,150,ADRA2A
DB00408,1128,CHRM1
DB00408,151,ADRA2B
DB00408,152,ADRA2C
DB00408,1131,CHRM3
DB00408,1815,DRD4
DB00408,3363,HTR7
DB00408,148,ADRA1A
DB00408,3269,HRH1
DB00408,1814,DRD3
DB00408,3362,HTR6
DB00408,59340,HRH4
DB00412,5916,RARG
DB00412,4129,MAOB
DB00412,5467,PPARD
DB00412,5465,PPARA
DB00421,2099,ESR1
DB00421,2908,NR3C1
DB00421,5241,PGR
DB00421,2100,ESR2
DB00433,1129,CHRM2
DB00433,150,ADRA2A
DB00433,1815,DRD4
DB00433,3358,HTR2C
DB00433,3269,HRH1
DB00433,1814,DRD3
DB00434,1132,CHRM4
DB00434,3350,HTR1A
DB00434,1133,CHRM5
DB00434,1812,DRD1
DB00434,6530,SLC6A2
DB00434,6532,SLC6A4
DB00434,1814,DRD3
DB00434,3357,HTR2B
DB00434,3362,HTR6
DB00434,59340,HRH4
DB00450,1815,DRD4
DB00450,3757,KCNH2
DB00455,8856,NR1I2
DB00455,3757,KCNH2
DB00455,9971,NR1H4
DB00455,55117,SLC6A15
DB00457,6580,SLC22A1
DB00457,150,ADRA2A
DB00457,4835,NQO2
DB00457,151,ADRA2B
DB00457,152,ADRA2C
DB00457,1815,DRD4
DB00457,4504,MT3
DB00457,3352,HTR1D
DB00458,6582,SLC22A2
DB00458,5621,PRNP
DB00458,3350,HTR1A
DB00458,150,ADRA2A
DB00458,1813,DRD2
DB00458,6530,SLC6A2
DB00458,3274,HRH2
DB00458,3358,HTR2C
DB00458,6532,SLC6A4
DB00458,1814,DRD3
DB00458,6531,SLC6A3
DB00458,3757,KCNH2
DB00467,526,ATP6V1B2
DB00468,6582,SLC22A2
DB00468,1565,CYP2D6
DB00471,10800,CYSLTR1
DB00472,1129,CHRM2
DB00472,1132,CHRM4
DB00472,1133,CHRM5
DB00472,150,ADRA2A
DB00472,1128,CHRM1
DB00472,1131,CHRM3
DB00472,43,ACHE
DB00472,6530,SLC6A2
DB00472,3358,HTR2C
DB00472,6532,SLC6A4
DB00472,148,ADRA1A
DB00472,3269,HRH1
DB00472,3357,HTR2B
DB00472,6531,SLC6A3
DB00472,3757,KCNH2
DB00472,10280,SIGMAR1
DB00476,1129,CHRM2
DB00476,3350,HTR1A
DB00476,150,ADRA2A
DB00476,1565,CYP2D6
DB00476,6530,SLC6A2
DB00476,4886,NPY1R
DB00476,3352,HTR1D
DB00476,3351,HTR1B
DB00476,3356,HTR2A
DB00476,3358,HTR2C
DB00476,3354,HTR1E
DB00476,3355,HTR1F
DB00476,6532,SLC6A4
DB00476,3269,HRH1
DB00476,3357,HTR2B
DB00476,3362,HTR6
DB00476,6531,SLC6A3
DB00477,6580,SLC22A1
DB00477,5621,PRNP
DB00477,1129,CHRM2
DB00477,5243,ABCB1
DB00477,150,ADRA2A
DB00477,1565,CYP2D6
DB00477,151,ADRA2B
DB00477,152,ADRA2C
DB00477,1131,CHRM3
DB00477,1815,DRD4
DB00477,1816,DRD5
DB00477,3358,HTR2C
DB00477,6532,SLC6A4
DB00477,3363,HTR7
DB00477,1814,DRD3
DB00477,3357,HTR2B
DB00477,3362,HTR6
DB00477,801,CALM1
DB00477,316,AOX1
DB00477,3757,KCNH2
DB00477,59340,HRH4
DB00477,11255,HRH3
DB00478,6582,SLC22A2
DB00481,5338,PLD2
DB00481,3357,HTR2B
DB00481,3362,HTR6
DB00481,316,AOX1
DB00481,5337,PLD1
DB00481,10682,EBP
DB00481,10280,SIGMAR1
DB00482,761,CA3
DB00482,1559,CYP2C9
DB00482,5742,PTGS1
DB00482,1432,MAPK14
DB00483,1128,CHRM1
DB00489,155,ADRB3
DB00490,3356,HTR2A
DB00490,3358,HTR2C
DB00490,1814,DRD3
DB00490,3357,HTR2B
DB00490,3757,KCNH2
DB00490,10280,SIGMAR1
DB00491,6476,SI
DB00495,7083,TK1
DB00495,7852,CXCR4
DB00500,3576,CXCL8
DB00502,154,ADRB2
DB00502,5243,ABCB1
DB00502,3350,HTR1A
DB00502,150,ADRA2A
DB00502,152,ADRA2C
DB00502,6915,TBXA2R
DB00502,1815,DRD4
DB00502,1816,DRD5
DB00502,3352,HTR1D
DB00502,3351,HTR1B
DB00502,3358,HTR2C
DB00502,3354,HTR1E
DB00502,3355,HTR1F
DB00502,6532,SLC6A4
DB00502,3363,HTR7
DB00502,148,ADRA1A
DB00502,3269,HRH1
DB00502,3357,HTR2B
DB00502,3362,HTR6
DB00502,3757,KCNH2
DB00502,10682,EBP
DB00502,10280,SIGMAR1
DB00514,1565,CYP2D6
DB00524,771,CA12
DB00524,760,CA2
DB00524,762,CA4
DB00524,765,CA6
DB00524,763,CA5A
DB00524,768,CA9
DB00524,23632,CA14
DB00524,11238,CA5B
DB00530,10733,PLK4
DB00530,6790,AURKA
DB00530,2580,GAK
DB00530,2051,EPHB6
DB00530,1613,DAPK3
DB00530,8767,RIPK2
DB00530,3717,JAK2
DB00530,9262,STK17B
DB00530,6793,STK10
DB00530,11309,SLCO2B1
DB00530,25,ABL1
DB00530,2064,ERBB2
DB00530,3932,LCK
DB00530,5979,RET
DB00530,4233,MET
DB00530,1576,CYP3A4
DB00530,3815,KIT
DB00530,6714,SRC
DB00530,2263,FGFR2
DB00530,2065,ERBB3
DB00530,7297,TYK2
DB00530,558,AXL
DB00530,2868,GRK4
DB00530,7272,TTK
DB00530,3791,KDR
DB00530,2322,FLT3
DB00530,1445,CSK
DB00530,7294,TXK
DB00530,27,ABL2
DB00530,5601,MAPK9
DB00530,1454,CSNK1E
DB00530,3718,JAK3
DB00530,5602,MAPK10
DB00530,2044,EPHA5
DB00530,2050,EPHB4
DB00530,2047,EPHB1
DB00530,54101,RIPK4
DB00530,10461,MERTK
DB00530,5607,MAP2K5
DB00530,817,CAMK2D
DB00530,2066,ERBB4
DB00530,22848,AAK1
DB00530,388228,SBK1
DB00530,80122,MAP3K19
DB00530,120892,LRRK2
DB00530,25989,ULK3
DB00530,50488,MINK1
DB00530,147746,HIPK4
DB00530,79837,PIP4K2C
DB00530,8445,DYRK2
DB00530,1244,ABCC2
DB00530,4215,MAP3K3
DB00530,23235,SIK2
DB00530,9748,SLK
DB00530,2872,MKNK2
DB00530,27148,STK36
DB00530,55589,BMP2K
DB00530,9263,STK17A
DB00530,285220,EPHA6
DB00530,29110,TBK1
DB00530,23043,TNIK
DB00530,26576,SRPK3
DB00530,10746,MAP3K2
DB00533,5742,PTGS1
DB00533,5732,PTGER2
DB00539,3362,HTR6
DB00543,3350,HTR1A
DB00543,1815,DRD4
DB00543,6530,SLC6A2
DB00543,3356,HTR2A
DB00543,6532,SLC6A4
DB00543,3363,HTR7
DB00543,1814,DRD3
DB00543,3362,HTR6
DB00543,6531,SLC6A3
DB00543,59340,HRH4
DB00549,6582,SLC22A2
DB00549,1559,CYP2C9
DB00549,1241,LTB4R
DB00549,57105,CYSLTR2
DB00549,10800,CYSLTR1
DB00553,1548,CYP2A6
DB00553,43,ACHE
DB00554,1576,CYP3A4
DB00558,10825,NEU3
DB00563,7298,TYMS
DB00563,6573,SLC19A1
DB00563,2356,FPGS
DB00571,1565,CYP2D6
DB00571,3356,HTR2A
DB00571,6554,SLC10A1
DB00575,6580,SLC22A1
DB00575,146,ADRA1D
DB00575,148,ADRA1A
DB00575,147,ADRA1B
DB00575,11188,NISCH
DB00576,1576,CYP3A4
DB00580,763,CA5A
DB00580,768,CA9
DB00580,23632,CA14
DB00580,11238,CA5B
DB00582,1559,CYP2C9
DB00582,1557,CYP2C19
DB00586,213,ALB
DB00586,3576,CXCL8
DB00586,3577,CXCR1
DB00586,8644,AKR1C3
DB00586,9356,SLC22A6
DB00590,150,ADRA2A
DB00590,152,ADRA2C
DB00601,4128,MAOA
DB00603,2908,NR3C1
DB00603,6462,SHBG
DB00603,367,AR
DB00603,8644,AKR1C3
DB00603,1646,AKR1C2
DB00603,1645,AKR1C1
DB00608,5621,PRNP
DB00608,1576,CYP3A4
DB00608,4835,NQO2
DB00608,3757,KCNH2
DB00612,155,ADRB3
DB00619,10733,PLK4
DB00619,2580,GAK
DB00619,6582,SLC22A2
DB00619,771,CA12
DB00619,759,CA1
DB00619,760,CA2
DB00619,3932,LCK
DB00619,2534,FYN
DB00619,761,CA3
DB00619,4067,LYN
DB00619,5243,ABCB1
DB00619,4835,NQO2
DB00619,762,CA4
DB00619,765,CA6
DB00619,2046,EPHA8
DB00619,7297,TYK2
DB00619,2322,FLT3
DB00619,27,ABL2
DB00619,2444,FRK
DB00619,6850,SYK
DB00619,5599,MAPK8
DB00619,5601,MAPK9
DB00619,1195,CLK1
DB00619,3654,IRAK1
DB00619,5602,MAPK10
DB00619,3735,KARS1
DB00619,768,CA9
DB00619,4921,DDR2
DB00619,147746,HIPK4
DB00619,79837,PIP4K2C
DB00619,57396,CLK4
DB00619,9263,STK17A
DB00619,23632,CA14
DB00619,9429,ABCG2
DB00622,5243,ABCB1
DB00622,1576,CYP3A4
DB00622,1559,CYP2C9
DB00623,1129,CHRM2
DB00623,5243,ABCB1
DB00623,3350,HTR1A
DB00623,150,ADRA2A
DB00623,1816,DRD5
DB00623,3356,HTR2A
DB00623,3358,HTR2C
DB00623,3269,HRH1
DB00623,1814,DRD3
DB00623,3362,HTR6
DB00624,6462,SHBG
DB00624,1576,CYP3A4
DB00624,1588,CYP19A1
DB00624,10280,SIGMAR1
DB00631,6241,RRM2
DB00633,146,ADRA1D
DB00641,5243,ABCB1
DB00643,25,ABL1
DB00643,3791,KDR
DB00655,6462,SHBG
DB00655,3292,HSD17B1
DB00655,2100,ESR2
DB00655,9429,ABCG2
DB00656,1813,DRD2
DB00656,6530,SLC6A2
DB00656,6532,SLC6A4
DB00656,3357,HTR2B
DB00656,6531,SLC6A3
DB00661,6580,SLC22A1
DB00661,5243,ABCB1
DB00661,1576,CYP3A4
DB00661,3738,KCNA3
DB00661,4363,ABCC1
DB00661,219931,TPCN2
DB00668,155,ADRB3
DB00669,3356,HTR2A
DB00669,3358,HTR2C
DB00669,3354,HTR1E
DB00669,3363,HTR7
DB00669,3359,HTR3A
DB00669,3362,HTR6
DB00673,1576,CYP3A4
DB00673,6870,TACR3
DB00675,5243,ABCB1
DB00675,1576,CYP3A4
DB00675,2101,ESRRA
DB00675,3362,HTR6
DB00675,3757,KCNH2
DB00675,10682,EBP
DB00675,10280,SIGMAR1
DB00675,84650,EBPL
DB00675,1717,DHCR7
DB00679,1129,CHRM2
DB00679,3350,HTR1A
DB00679,150,ADRA2A
DB00679,151,ADRA2B
DB00679,152,ADRA2C
DB00679,1131,CHRM3
DB00679,1815,DRD4
DB00679,1816,DRD5
DB00679,3358,HTR2C
DB00679,3363,HTR7
DB00679,3269,HRH1
DB00679,1814,DRD3
DB00679,3362,HTR6
DB00682,213,ALB
DB00692,3350,HTR1A
DB00692,151,ADRA2B
DB00692,152,ADRA2C
DB00692,146,ADRA1D
DB00692,3269,HRH1
DB00692,147,ADRA1B
DB00692,10280,SIGMAR1
DB00692,11188,NISCH
DB00694,5243,ABCB1
DB00694,4313,MMP2
DB00694,4363,ABCC1
DB00695,3290,HSD11B1
DB00701,1576,CYP3A4
DB00701,1577,CYP3A5
DB00706,3350,HTR1A
DB00706,150,ADRA2A
DB00706,1813,DRD2
DB00706,152,ADRA2C
DB00706,3363,HTR7
DB00706,1814,DRD3
DB00712,8644,AKR1C3
DB00712,9356,SLC22A6
DB00715,150,ADRA2A
DB00715,1565,CYP2D6
DB00715,6530,SLC6A2
DB00715,6869,TACR1
DB00715,6532,SLC6A4
DB00715,6531,SLC6A3
DB00715,5025,P2RX4
DB00717,6462,SHBG
DB00730,23173,METAP1
DB00734,154,ADRB2
DB00734,1129,CHRM2
DB00734,1132,CHRM4
DB00734,153,ADRB1
DB00734,1128,CHRM1
DB00734,6915,TBXA2R
DB00734,1816,DRD5
DB00734,3351,HTR1B
DB00734,3354,HTR1E
DB00734,3355,HTR1F
DB00734,6532,SLC6A4
DB00734,3363,HTR7
DB00734,3357,HTR2B
DB00734,3362,HTR6
DB00734,3757,KCNH2
DB00734,10280,SIGMAR1
DB00738,6582,SLC22A2
DB00738,6581,SLC22A3
DB00738,6285,S100B
DB00738,5644,PRSS1
DB00738,6303,SAT1
DB00738,6768,ST14
DB00744,4048,LTA4H
DB00744,241,ALOX5AP
DB00744,2053,EPHX2
DB00744,1241,LTB4R
DB00751,6582,SLC22A2
DB00762,6582,SLC22A2
DB00762,43,ACHE
DB00773,836,CASP3
DB00780,23028,KDM1A
DB00780,1558,CYP2C8
DB00780,6531,SLC6A3
DB00783,6580,SLC22A1
DB00783,6581,SLC22A3
DB00783,2103,ESRRB
DB00783,6462,SHBG
DB00783,367,AR
DB00783,2101,ESRRA
DB00783,316,AOX1
DB00784,8644,AKR1C3
DB00784,1646,AKR1C2
DB00784,1645,AKR1C1
DB00797,151,ADRA2B
DB00797,152,ADRA2C
DB00800,1813,DRD2
DB00808,771,CA12
DB00808,760,CA2
DB00808,765,CA6
DB00810,1129,CHRM2
DB00810,1132,CHRM4
DB00810,1133,CHRM5
DB00810,1131,CHRM3
DB00811,3615,IMPDH2
DB00822,8989,TRPA1
DB00822,11343,MGLL
DB00831,1129,CHRM2
DB00831,5243,ABCB1
DB00831,3350,HTR1A
DB00831,150,ADRA2A
DB00831,151,ADRA2B
DB00831,152,ADRA2C
DB00831,1131,CHRM3
DB00831,1815,DRD4
DB00831,3356,HTR2A
DB00831,3358,HTR2C
DB00831,3363,HTR7
DB00831,3269,HRH1
DB00831,1814,DRD3
DB00831,3362,HTR6
DB00831,10682,EBP
DB00831,10280,SIGMAR1
DB00831,84650,EBPL
DB00834,8856,NR1I2
DB00834,4306,NR3C2
DB00834,1576,CYP3A4
DB00834,367,AR
DB00834,2100,ESR2
DB00836,5243,ABCB1
DB00836,3269,HRH1
DB00836,7010,TEK
DB00841,771,CA12
DB00841,759,CA1
DB00841,760,CA2
DB00841,761,CA3
DB00841,762,CA4
DB00841,765,CA6
DB00841,763,CA5A
DB00841,768,CA9
DB00841,11238,CA5B
DB00857,6713,SQLE
DB00860,4306,NR3C2
DB00860,367,AR
DB00860,2752,GLUL
DB00862,5138,PDE2A
DB00862,5152,PDE9A
DB00862,50940,PDE11A
DB00862,10846,PDE10A
DB00869,761,CA3
DB00869,765,CA6
DB00869,768,CA9
DB00869,23632,CA14
DB00870,1559,CYP2C9
DB00878,6582,SLC22A2
DB00878,6580,SLC22A1
DB00878,6581,SLC22A3
DB00878,4313,MMP2
DB00878,4318,MMP9
DB00887,771,CA12
DB00887,759,CA1
DB00887,760,CA2
DB00887,762,CA4
DB00887,765,CA6
DB00887,763,CA5A
DB00887,768,CA9
DB00887,23632,CA14
DB00887,11238,CA5B
DB00889,6582,SLC22A2
DB00889,9177,HTR3B
DB00889,3757,KCNH2
DB00904,6582,SLC22A2
DB00904,9177,HTR3B
DB00904,3757,KCNH2
DB00908,5243,ABCB1
DB00908,1565,CYP2D6
DB00909,765,CA6
DB00912,6580,SLC22A1
DB00914,6580,SLC22A1
DB00917,27306,HPGDS
DB00917,5737,PTGFR
DB00917,5739,PTGIR
DB00917,117144,CATSPER1
DB00917,117155,CATSPER2
DB00920,3356,HTR2A
DB00920,3358,HTR2C
DB00920,3357,HTR2B
DB00925,6582,SLC22A2
DB00925,6580,SLC22A1
DB00925,6581,SLC22A3
DB00934,1813,DRD2
DB00934,1812,DRD1
DB00934,1816,DRD5
DB00934,6530,SLC6A2
DB00934,6532,SLC6A4
DB00934,1814,DRD3
DB00934,6531,SLC6A3
DB00934,11255,HRH3
DB00935,151,ADRA2B
DB00935,152,ADRA2C
DB00935,3352,HTR1D
DB00935,3351,HTR1B
DB00935,3356,HTR2A
DB00935,3358,HTR2C
DB00935,3354,HTR1E
DB00935,3357,HTR2B
DB00935,11188,NISCH
DB00943,7852,CXCR4
DB00951,1557,CYP2C19
DB00953,3350,HTR1A
DB00953,3356,HTR2A
DB00953,3358,HTR2C
DB00966,186,AGTR2
DB00968,1491,CTH
DB00972,1565,CYP2D6
DB00972,11255,HRH3
DB00975,5138,PDE2A
DB00975,6582,SLC22A2
DB00975,10257,ABCC4
DB00975,5151,PDE8A
DB00975,58497,PRUNE1
DB00975,2030,SLC29A1
DB00975,50940,PDE11A
DB00975,27115,PDE7B
DB00977,6582,SLC22A2
DB00977,6462,SHBG
DB00977,316,AOX1
DB00977,2100,ESR2
DB00983,153,ADRB1
DB00983,155,ADRB3
DB00988,3350,HTR1A
DB00988,6530,SLC6A2
DB00988,6531,SLC6A3
DB00997,6790,AURKA
DB00997,5243,ABCB1
DB00997,4313,MMP2
DB00997,1717,DHCR7
DB00999,765,CA6
DB00999,763,CA5A
DB00999,23632,CA14
DB00999,11238,CA5B
DB01006,1588,CYP19A1
DB01006,1584,CYP11B1
DB01006,1585,CYP11B2
DB01007,1586,CYP17A1
DB01009,9356,SLC22A6
DB01012,846,CASR
DB01019,1128,CHRM1
DB01021,771,CA12
DB01021,765,CA6
DB01021,763,CA5A
DB01021,768,CA9
DB01021,23632,CA14
DB01021,11238,CA5B
DB01023,1080,CFTR
DB01023,9971,NR1H4
DB01024,5468,PPARG
DB01029,1909,EDNRA
DB01030,3091,HIF1A
DB01030,9429,ABCG2
DB01032,9356,SLC22A6
DB01036,3757,KCNH2
DB01039,5468,PPARG
DB01043,2902,GRIN1
DB01050,9356,SLC22A6
DB01062,1132,CHRM4
DB01062,1133,CHRM5
DB01064,156,GRK2
DB01065,4504,MT3
DB01065,3357,HTR2B
DB01067,1576,CYP3A4
DB01074,3757,KCNH2
DB01083,7920,ABHD16A
DB01083,1268,CNR1
DB01083,7941,PLA2G7
DB01083,26090,ABHD12
DB01083,221955,DAGLB
DB01083,747,DAGLA
DB01094,1543,CYP1A1
DB01094,1432,MAPK14
DB01094,1545,CYP1B1
DB01103,5621,PRNP
DB01103,316,AOX1
DB01110,2916,GRM6
DB01110,1586,CYP17A1
DB01110,5243,ABCB1
DB01110,1576,CYP3A4
DB01110,1588,CYP19A1
DB01110,1595,CYP51A1
DB01113,5138,PDE2A
DB01113,8654,PDE5A
DB01113,3757,KCNH2
DB01113,5140,PDE3B
DB01113,5139,PDE3A
DB01114,3357,HTR2B
DB01114,3757,KCNH2
DB01114,59340,HRH4
DB01115,1576,CYP3A4
DB01115,3741,KCNA5
DB01124,213,ALB
DB01127,7226,TRPM2
DB01127,1586,CYP17A1
DB01127,1576,CYP3A4
DB01127,1595,CYP51A1
DB01128,5241,PGR
DB01132,4129,MAOB
DB01136,6582,SLC22A2
DB01136,5243,ABCB1
DB01136,155,ADRB3
DB01144,771,CA12
DB01144,765,CA6
DB01144,763,CA5A
DB01144,768,CA9
DB01144,23632,CA14
DB01144,11238,CA5B
DB01156,6530,SLC6A2
DB01156,6532,SLC6A4
DB01156,6531,SLC6A3
DB01162,150,ADRA2A
DB01162,151,ADRA2B
DB01162,152,ADRA2C
DB01166,5140,PDE3B
DB01171,3350,HTR1A
DB01173,6582,SLC22A2
DB01173,1129,CHRM2
DB01173,1132,CHRM4
DB01173,1133,CHRM5
DB01173,1128,CHRM1
DB01173,1131,CHRM3
DB01173,3757,KCNH2
DB01175,6532,SLC6A4
DB01182,10060,ABCC9
DB01182,5243,ABCB1
DB01183,2831,NPBWR1
DB01184,6582,SLC22A2
DB01184,3757,KCNH2
DB01186,3757,KCNH2
DB01194,771,CA12
DB01194,768,CA9
DB01197,2147,F2
DB01197,5972,REN
DB01204,5292,PIM1
DB01204,4363,ABCC1
DB01204,695,BTK
DB01205,2557,GABRA4
DB01205,2559,GABRA6
DB01217,1588,CYP19A1
DB01224,154,ADRB2
DB01224,153,ADRB1
DB01224,6915,TBXA2R
DB01224,6530,SLC6A2
DB01224,3355,HTR1F
DB01224,6532,SLC6A4
DB01224,3757,KCNH2
DB01234,5319,PLA2G1B
DB01234,5241,PGR
DB01234,4306,NR3C2
DB01234,367,AR
DB01234,5743,PTGS2
DB01238,5582,PRKCG
DB01238,154,ADRB2
DB01238,5243,ABCB1
DB01238,153,ADRB1
DB01238,6530,SLC6A2
DB01238,6532,SLC6A4
DB01238,3357,HTR2B
DB01238,6531,SLC6A3
DB01238,3757,KCNH2
DB01239,1815,DRD4
DB01239,1816,DRD5
DB01239,11255,HRH3
DB01241,1558,CYP2C8
DB01241,1559,CYP2C9
DB01242,150,ADRA2A
DB01242,1813,DRD2
